"","funds_lost","funds_returned","scamNetworks","scam_type_grouped"
"518",0,0,"Binance","Exit Scam"
"519",16000,16000,"Solana","Exploit"
"520",0,0,"Ethereum","Exit Scam"
"521",0,0,"Ethereum","Exit Scam"
"522",0,0,"Binance","Exit Scam"
"523",210000,0,"Binance","Exit Scam"
"524",35230,0,"Binance","Exit Scam"
"525",0,0,"Ethereum","Exit Scam"
"526",0,0,"Binance","Exit Scam"
"527",29069,0,"Binance","Exit Scam"
"528",0,0,"Binance","Exit Scam"
"529",0,0,"Binance","Exit Scam"
"530",0,0,"Binance","Exit Scam"
"531",0,0,"Ethereum","Exit Scam"
"532",4e+05,0,"Binance","Exit Scam"
"533",2.7e+07,2.4e+07,"Binance","Exit Scam"
"534",0,0,"Binance","Exit Scam"
"535",0,0,"Binance","Exit Scam"
"536",0,0,"Binance","Exit Scam"
"537",0,0,"Binance","Exit Scam"
"538",5200000,0,"Solana","Exploit"
"539",2652,0,"Ethereum","Exit Scam"
"540",0,0,"Binance","Exit Scam"
"541",0,0,"Ethereum","Exit Scam"
"542",0,0,"Ethereum","Exit Scam"
"543",0,0,"Binance","Exit Scam"
"544",0,0,"Ethereum","Exit Scam"
"545",750000,0,"Centralized","Exit Scam"
"546",3.4e+07,0,"Ethereum","Exploit"
"547",0,0,"Binance","Exit Scam"
"548",0,0,"Ethereum","Exit Scam"
"549",0,0,"Ethereum","Exit Scam"
"550",0,0,"Binance","Exit Scam"
"551",0,0,"Binance","Exit Scam"
"552",111467,0,"Binance","Exit Scam"
"553",0,0,"Binance","Exit Scam"
"554",0,0,"Ethereum","Exit Scam"
"555",0,0,"Binance","Exit Scam"
"556",2.95e+08,0,"Centralized","Exploit"
"557",1.19e+09,0,"Centralized","Exploit"
"558",0,0,"Binance","Exit Scam"
"559",0,0,"Ethereum","Exit Scam"
"560",0,0,"Ethereum","Exit Scam"
"561",0,0,"Binance","Exit Scam"
"562",17700000,0,"Other","Exploit"
"563",0,0,"Binance","Exit Scam"
"564",0,0,"Ethereum","Exit Scam"
"565",363854,0,"Ethereum","Exit Scam"
"566",1.3e+08,0,"Ethereum","Exploit"
"567",0,0,"Binance","Exit Scam"
"568",0,0,"Binance","Exit Scam"
"569",343697,0,"Ethereum","Exploit"
"570",0,0,"Ethereum","Exit Scam"
"571",0,0,"Binance","Exit Scam"
"572",0,0,"Binance","Exit Scam"
"573",281382,0,"Ethereum","Exploit"
"574",0,0,"Binance","Exit Scam"
"575",44371,0,"Binance","Exit Scam"
"576",0,0,"Binance","Exit Scam"
"577",0,0,"Binance","Exit Scam"
"578",0,0,"Binance","Exit Scam"
"579",0,0,"Binance","Exit Scam"
"580",642756,0,"Ethereum","Exploit"
"581",0,0,"Ethereum","Exit Scam"
